Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,2017-03-30 18:34,1,2,Wonder what @Target 's #iot and #ai infrastructure looks like! Any company managing that much product has to be dealing with serious #tech,,@Target,#iot #ai #tech,847577927193513984,https://twitter.com/SeattleDataGuy/status/847577927193513984,
,2017-03-30 18:32,0,0,This is what happens when you hangout with the hubbie. @belk @target thecontainerstore… https://www. instagram.com/p/BSR3Ztkh4PT/,,@belk @target,,847577317001920515,https://twitter.com/mamaplanning/status/847577317001920515,
,2017-03-30 18:31,0,0,I wish there was an off-ramp from 95N straight into the @Target parking lot,,@Target,,847577100068499456,https://twitter.com/beakaboo/status/847577100068499456,
,2017-03-30 18:30,0,1,"This why @Target is the worst! 5:30pm not one register open,and it's only employee says well try pizza hut"" #WalmartIsEvenBetter pic.twitter.com/JOiP8vI5Cv""",,@Target,#WalmartIsEvenBetter,847576823215017984,https://twitter.com/ThePackAttack18/status/847576823215017984,
,2017-03-30 18:29,0,0,"Heck yes! @Target , @WholeFoods , @sproutsfm , @NaturalGrocers , @kroger and more!",,@Target @WholeFoods @sproutsfm @NaturalGrocers @kroger,,847576548832137216,https://twitter.com/HighBrewCoffee/status/847576548832137216,
,2017-03-30 18:29,0,4,Perfect touch for your office or home! @Target @TargetStyle pic.twitter.com/BiXAofuvln,,@Target @TargetStyle,,847576489008570368,https://twitter.com/EverydayTarget/status/847576489008570368,
,2017-03-30 18:28,0,2,Chile... does @Target sell these PJ kids?? pic.twitter.com/23OFu30ll9,,@Target,,847576237174398976,https://twitter.com/GiGi__Says/status/847576237174398976,
,2017-03-30 18:27,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575958777339904,https://twitter.com/sheehansm/status/847575958777339904,
,2017-03-30 18:26,0,1,My name is Candy. Chocolate Candy. @Target pic.twitter.com/0dV71oojxB,,@Target,,847575873024872450,https://twitter.com/laneeeee_sue/status/847575873024872450,
,2017-03-30 18:26,0,1,This is so cool I wish they did that here!,,,,847575844058836992,https://twitter.com/TaroThePeanut/status/847575844058836992,
,2017-03-30 18:26,0,0,"@Target Did everyone get this End of the Rainbow badge in the app? #target #cartwheel Tell me it's because you love me most, Target!",,@Target,#target #cartwheel,847575747757621250,https://twitter.com/jenlmccann/status/847575747757621250,
,2017-03-30 18:25,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575456220160002,https://twitter.com/MahfoozurRehm15/status/847575456220160002,
,2017-03-30 18:24,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575237021634560,https://twitter.com/salishcyn/status/847575237021634560,
,2017-03-30 18:23,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575116108111874,https://twitter.com/amra_sultana/status/847575116108111874,
,2017-03-30 18:23,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575048449794049,https://twitter.com/salishcyn/status/847575048449794049,
,2017-03-30 18:23,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847575006217465857,https://twitter.com/Amyquinn7111Amy/status/847575006217465857,
,2017-03-30 18:22,1,4,"Pregnant? You'll tell my dad. Just got your annual notice in the snail mail about that, thanks.",,,,847574842966556676,https://twitter.com/henrycobb/status/847574842966556676,
,2017-03-30 18:21,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847574459938635776,https://twitter.com/magnum17x/status/847574459938635776,
,2017-03-30 18:21,0,1,"I really need to reconsider my fashion choices when I shop @Target . No I don't work here."" ""I'm not sure if they have that in your size."" pic.twitter.com/VfwkP1wIu3""",,@Target,,847574421015379968,https://twitter.com/GabrielMonares/status/847574421015379968,
,2017-03-30 18:19,0,0,I just checked in @Target with #mPLUSPlaces Download today! http:// bit.ly/gomplaces,,@Target,#mPLUSPlaces,847574143415468032,https://twitter.com/Amyquinn7111Amy/status/847574143415468032,
